text,airline_sentiment_new_score
gusten,1
cancun,0
viaja,0
disfruta,1
manera,0
igual,1
sabiais,0
trata,0
bien,1
santiago,0
chilete,0
cambia,-1
asientote,0
manda,0
volar,0
wc,0
traseroe,0
nunca,-1
nunca,-1
nunca,-1
pidais,0
cafe,0
ryanair,0
bueno,1
vendan,0
bordo,0
exito,0
wow,1
bonito,1
solo,-1
volado,0
unas,0
veces,0
siempre,0
tierra,0
felicitaciones,1
iberia,0
chuata,0
madrid,0
stgo,0
par,0
semanas,0
habra,1
cruzar,0
dedos,0
ahora,1
air,0
france,0
klm,0
igual,1
iberia,0
elimino,0
duplicidad,0
avales,0
agencias,0
nexotur,0
ano,1
uniran,0
resto,-1
iberia,0
decian,0
cataluna,0
ave,0
galicia,0
rentable,1
ryanair,0
penosoyo,-1
solo,-1
viajo,0
si,1
alternativa,1
ademas,1
intentado,1
hacer,0
d,0
nuevo,1
compracon,0
tarjeta,0
permite,1
aunq,0
tarjeta,0
di,0
suerte,1
poder,1
volar,0
especialmente,0
aterrizar,1
mejor,1
foto,0
tecnologica,0
ano,1
womenintechspain,0
redhat,0
red,1
hat,0
iberia,0
country,0
manager,0
chollo,1
maleta,0
aerolite,0
barata,1
solo,-1
enlace,0
omg,1
viendo,0
iberia,0
agosto,0
vuelo,0
directo,1
san,0
francisco,0
vuelta,0
corazon,1
saltando,0
iberia,0
eta,0
militar,0
aerolineas,0
peores,-1
experiencias,0
sido,0
todas,0
hola,0
andrea,0
pareja,1
sentencia,-1
firme,0
abandono,-1
iberia,0
praga,0
indemnizado,1
c,0
llegando,1
malaga,0
ryanair,0
pusieron,1
musiquita,1
altavoz,1
encenti,0
finalmente,1
proporcionarme,0
autorizacion,0
viajar,0
lamentable,-1
pues,0
verdad,1
pocas,-1
explicaciones,0
ninguna,-1
alternativa,1
cuenta,0
etc,0
dejando,-1
desear,0
ofrecen,0
descuento,0
asistentes,0
gijonsecome,0
codigo,0
descuento,0
iigijonsecome,0
hice,1
compra,-1
pasaje,0
nunca,-1
llego,1
mail,0
confirmacion,1
si,1
bien,1
figura,0
reserva,1
ingresando,0
acabo,-1
venir,1
mostrador,0
atencion,1
cliente,0
mandan,0
llamar,0
telefono,0
chistoso,0
qu,0
manana,0
regresamos,0
casa,0
pasar,0
fiestas,1
podra,1
comer,1
puede,1
ofrecer,1
pues,0
sabes,1
iberia,0
billete,1
cerrado,-1
iberia,0
perdio,-1
maleta,0
hace,0
dias,0
medicamentos,1
adentro,1
buenos,1
tiempos,0
b,0
avion,0
excelencia,1
volveremos,0
verlo,0
nuevo,1
ib,0
vergonzoso,-1
cancela,-1
vuelo,0
chicagomadrid,0
diciembre,0
si,1
viajamos,0
par,0
dicho,0
ryanair,0
actuado,0
bi,0
black,0
friday,0
tambien,1
iberia,0
pues,0
tan,0
desagradable,-1
gastaria,0
dinero,1
iberia,0
pasajero,0
sale,1
puerta,0
emergencia,0
avion,0
ryanair,0
cansado,-1
esperar,-1
mas,1
hora,0
jajajajajja,1
llevate,0
pasaporte,0
tambien,1
lu,0
ayudas,1
difundir,0
favor,1
volado,0
vuelos,0
niki,0
operaba,1
air,0
berlin,0
habia,1
colaboracion,1
estre,0
atiende,0
reclamaciones,-1
indemnizacion,1
retraso,-1
superior,0
tres,0
horas,0
pesar,-1
saber,1
consta,0
verguenza,-1
suena,0
hace,0
tiempo,0
llevo,1
barca,0
prat,0
amistoso,1
golfo,0
calera,1
iberia,0
apoya,1
tas,0
descenso,1
colista,0
transicion,0
promedio,0
ahora,1
mil,1
gracias,1
luis,0
placer,1
viajar,0
ryanair,0
nueva,1
politica,0
equipajes,0
ryanair,0
entrara,0
vigor,1
proximo,1
mes,0
hola,0
hecho,1
check,1
in,0
app,0
despues,1
meses,0
experiencia,0
sido,0
brutalmente,-1
buena,1
hola,0
vuelo,0
vienamadrid,0
va,0
salir,0
minutos,0
retraso,-1
gracias,1
billete,1
ahorrar,1
sobrevalorado,-1
ryanair,0
poniendo,1
ojitos,0
siento,0
estafado,-1
deberian,0
quitarles,-1
licencia,0
companias,0
mas,1
serias,0
ocupen,-1
lugar,0
ryanair,0
pide,0
pilotos,0
abandonen,-1
planes,0
huelga,-1
puse,1
reclamacion,-1
vez,0
metio,0
avion,0
parecia,0
primera,1
guerra,-1
mundial,0
felicitaciones,1
buen,1
despegue,0
veces,0
veo,0
spotters,0
zona,0
felices,1
fiestas,1
pena,-1
venezolanos,0
podamos,0
volar,0
ustedes,0
experiencia,0
siempre,0
antonio,0
baldellou,0
nuevo,1
director,1
instalaciones,0
existentes,0
modernizaciones,1
schindler,0
iberia,0
recursos,0
huma,0
iberia,0
tripulante,0
cabina,0
pasajeros,0
primer,1
vuelo,0
vida,1
perdido,-1
gracias,1
ayuda,1
worstflightcompany,0
hoy,0
iberia,0
cumple,0
anos,1
primer,1
vuelo,0
felicidades,1
avgeek,0
pasionporlaaviacion,0
ryanair,0
guarretes,0
jajaja,1
volaba,0
cn,0
aunque,-1
pagaran,1
via,0
iberia,0
ampliara,1
vuelos,0
semanales,0
buenos,1
aires,0
dos,0
asientos,0
juntos,1
pueden,1
explicarme,1
si,1
nueva,1
politica,0
iberia,0
fidelizar,1
clientes,0
si,1
puedo,1
arreglarlo,-1
gracias,1
gracias,1
regalazo,1
navidad,0
upgrade,0
business,0
vuelo,0
horas,0
precio,0
idoya,0
esperemos,-1
menos,-1
ponen,1
parte,0
solucionarlo,1
buenas,1
noche,0
pues,0
menudo,1
timo,-1
verguenza,-1
dentro,0
malo,-1
quedo,1
aeropuerto,0
maneja,0
idioma,0
puedas,1
abrazar,1
pronto,1
ryanair,0
united,0
peores,-1
aerolineas,0
segun,0
consultora,0
brintanica,0
which,0
mejor,1
iberia,0
habia,1
pasado,-1
arrechera,0
aa,0
bello,1
salvador,0
diputados,0
abren,0
espacio,0
aereo,0
